rep_id,sales_rep,manager,sales_team
1,Mary Gerrard,Britanny Bold,Delta
2,Jessica Smith,Britanny Bold,Delta
3,Steve Pepple,Tracy Banks,Bravo
4,Anne Wu,Britanny Bold,Delta
5,Thompson Crawford,James Goodwill,Alfa
6,Sheila Stones,Britanny Bold,Delta
7,Stella Given,Alisha Cordwell,Charlie
8,Morris Garcia,Tracy Banks,Bravo
9,Erica Jones,James Goodwill,Alfa
10,Abigail Thompson,Tracy Banks,Bravo
11,Daniel Gates,Alisha Cordwell,Charlie
12,Alan Ray,James Goodwill,Alfa
13,Jimmy Grey,Alisha Cordwell,Charlie
